Date,Departure airport,Number of big hits
2019-07-03,Charles de Gaulle International Airport,17
2019-07-03,Frankfurt am Main Airport,29
2019-07-03,London Heathrow Airport,63
2019-07-04,Charles de Gaulle International Airport,20
2019-07-04,Frankfurt am Main Airport,11
2019-07-04,London Heathrow Airport,37
2019-07-05,Charles de Gaulle International Airport,21
2019-07-05,Frankfurt am Main Airport,18
2019-07-05,London Heathrow Airport,39
2019-07-06,Charles de Gaulle International Airport,20
2019-07-06,Frankfurt am Main Airport,10
2019-07-06,London Heathrow Airport,56
2019-07-07,Charles de Gaulle International Airport,30
2019-07-07,Frankfurt am Main Airport,27
2019-07-07,London Heathrow Airport,83
2019-07-08,Charles de Gaulle International Airport,36
2019-07-08,Frankfurt am Main Airport,39
2019-07-08,London Heathrow Airport,64
2019-07-09,Charles de Gaulle International Airport,28
2019-07-09,Frankfurt am Main Airport,22
2019-07-09,London Heathrow Airport,42
2019-07-10,Charles de Gaulle International Airport,21
2019-07-10,Frankfurt am Main Airport,25
2019-07-10,London Heathrow Airport,27
2019-07-11,Charles de Gaulle International Airport,25
2019-07-11,Frankfurt am Main Airport,21
2019-07-11,London Heathrow Airport,34
2019-07-12,Charles de Gaulle International Airport,20
2019-07-12,Frankfurt am Main Airport,21
2019-07-12,London Heathrow Airport,36
2019-07-13,Charles de Gaulle International Airport,32
2019-07-13,Frankfurt am Main Airport,33
2019-07-13,London Heathrow Airport,80
2019-07-14,Charles de Gaulle International Airport,31
2019-07-14,Frankfurt am Main Airport,35
2019-07-14,London Heathrow Airport,39
2019-07-15,Charles de Gaulle International Airport,31
2019-07-15,Frankfurt am Main Airport,41
2019-07-15,London Heathrow Airport,66
2019-07-16,Charles de Gaulle International Airport,55
2019-07-16,Frankfurt am Main Airport,31
2019-07-16,London Heathrow Airport,75
2019-07-17,Charles de Gaulle International Airport,49
2019-07-17,Frankfurt am Main Airport,60
2019-07-17,London Heathrow Airport,86
2019-07-18,Charles de Gaulle International Airport,54
2019-07-18,Frankfurt am Main Airport,45
2019-07-18,London Heathrow Airport,94
2019-07-19,Charles de Gaulle International Airport,35
2019-07-19,Frankfurt am Main Airport,40
2019-07-19,London Heathrow Airport,87
2019-07-20,Charles de Gaulle International Airport,41
2019-07-20,Frankfurt am Main Airport,48
2019-07-20,London Heathrow Airport,78
2019-07-21,Charles de Gaulle International Airport,32
2019-07-21,Frankfurt am Main Airport,26
2019-07-21,London Heathrow Airport,76
2019-07-22,Charles de Gaulle International Airport,21
2019-07-22,Frankfurt am Main Airport,15
2019-07-22,London Heathrow Airport,36
2019-07-23,Charles de Gaulle International Airport,25
2019-07-23,Frankfurt am Main Airport,18
2019-07-23,London Heathrow Airport,31
2019-07-24,Charles de Gaulle International Airport,22
2019-07-24,Frankfurt am Main Airport,16
2019-07-24,London Heathrow Airport,34
2019-07-25,Charles de Gaulle International Airport,27
2019-07-25,Frankfurt am Main Airport,18
2019-07-25,London Heathrow Airport,21
2019-07-26,Charles de Gaulle International Airport,13
2019-07-26,Frankfurt am Main Airport,13
2019-07-26,London Heathrow Airport,23
2019-07-27,Charles de Gaulle International Airport,19
2019-07-27,Frankfurt am Main Airport,14
2019-07-27,London Heathrow Airport,33
2019-07-28,Charles de Gaulle International Airport,34
2019-07-28,Frankfurt am Main Airport,38
2019-07-28,London Heathrow Airport,58
2019-07-29,Charles de Gaulle International Airport,14
2019-07-29,Frankfurt am Main Airport,17
2019-07-29,London Heathrow Airport,29
2019-07-30,Charles de Gaulle International Airport,15
2019-07-30,Frankfurt am Main Airport,16
2019-07-30,London Heathrow Airport,29
2019-07-31,Charles de Gaulle International Airport,40
2019-07-31,Frankfurt am Main Airport,18
2019-07-31,London Heathrow Airport,36
2019-08-01,Charles de Gaulle International Airport,27
2019-08-01,Frankfurt am Main Airport,26
2019-08-01,London Heathrow Airport,32
2019-08-02,Charles de Gaulle International Airport,20
2019-08-02,Frankfurt am Main Airport,21
2019-08-02,London Heathrow Airport,39
2019-08-03,Charles de Gaulle International Airport,40
2019-08-03,Frankfurt am Main Airport,20
2019-08-03,London Heathrow Airport,62
2019-08-04,Charles de Gaulle International Airport,37
2019-08-04,Frankfurt am Main Airport,33
2019-08-04,London Heathrow Airport,76
2019-08-05,Charles de Gaulle International Airport,31
2019-08-05,Frankfurt am Main Airport,29
