date,fir_code,fir_name,big_hit_count
2019-01-10,URRV,Rostov-Na-Donu FIR,0
2019-01-10,USSV,Yekaterinburg FIR,1
2019-01-10,UUWV,Moscow FIR,4
2019-01-10,UWWW,Samara FIR,0
2019-01-11,BIRD,Reykjavik FIR,14
2019-01-11,EBBU,Brussels FIR,22
2019-01-11,EDGG,Langen FIR,121
2019-01-11,EDMM,Munchen FIR,39
2019-01-11,EDWW,Bremen FIR,20
2019-01-11,EETT,Tallinn FIR,4
2019-01-11,EFIN,Helsinki FIR,27
2019-01-11,EGPX,Scottish FIR,7
2019-01-11,EGTT,London FIR,206
2019-01-11,EHAA,Amsterdam FIR,58
2019-01-11,EISN,Shannon FIR,16
2019-01-11,EKDK,Copenhagen FIR,31
2019-01-11,ENOB,Bodo Oceanic FIR,0
2019-01-11,ENOR,Polaris FIR,23
2019-01-11,EPWW,Warszawa FIR,23
2019-01-11,ESAA,Sweden FIR,26
2019-01-11,EVRR,Riga FIR,7
2019-01-11,EYVL,Vilnius FIR,8
2019-01-11,GCCC,Canarias FIR,7
2019-01-11,GMMM,Casablanca FIR,0
2019-01-11,LAAA,Tirana FIR,0
2019-01-11,LBSR,Sofia FIR,8
2019-01-11,LDZO,Zagreb FIR,0
2019-01-11,LECB,Barcelona FIR,16
2019-01-11,LECM,Madrid FIR,34
2019-01-11,LFBB,Bordeaux FIR,0
